City,0,1,2,3,4,5,kmeans_group,gmm_group
Akron_OH,1.4274028058087525,-0.8639458824672575,0.12358060213107014,-0.6077068548386027,-3.5562235938131974,0.26454519394402376,3,4
Albany_NY,3.161644810963562,0.6559322235534202,0.3465769175653362,-0.2133388699303662,2.166986580825159,0.4067759781586046,5,4
Albuquerque_NM,1.1379890140483093,1.4575096720324723,1.4163509476131202,-0.46119307604607596,0.013989655175662145,-0.8625195471664542,4,4
Amarillo_TX,3.4206180834695172,0.1743686751233496,0.09367941234139171,-0.3686142389340007,0.7124834324091021,-0.2037239170728795,5,4
Ann_Arbor_MI,1.2922233072328595,-2.8960727276488574,-0.5039588191384095,-0.3887391357520364,-2.458751294128955,0.5194279808604294,3,4
Asheville_NC,-0.8460472132237845,-1.0445036677777249,-1.0778936462497213,0.4990452058452645,0.06187635400886584,1.4894125783933727,0,3
Austin_TX,-3.1408880433462216,0.45202612902741135,-0.3430918727664124,-1.165251889401697,-0.18186835388217712,-0.48970298062988404,1,3
Bakersfield_CA,0.7728492753936985,1.3214917839596405,0.3216260391507396,0.39156791184761125,0.7438981096929367,-1.2338093314121648,4,4
Bend_OR,-3.96422132183921,0.10505218303683243,-0.6493058435320491,-0.3489680238335096,2.766613908448688,-1.0367813170335298,1,3
Cedar_Rapids_IA,3.4625624906927275,-0.4012658168753074,-0.1004753997378492,2.219468419262888,-0.16518348809881825,0.14250689364750577,5,4
Chattanooga_TN,-0.3321276274647503,1.816618184484134,-0.7605676961083201,0.3246758054639519,-0.320120317056373,-0.0035912524785593524,4,4
Cleveland_OH,1.1206817687310413,0.33407193600027646,0.06714443438494108,-0.3175972377872609,-1.7082395900290268,-0.3482481080828215,3,4
Colorado_Springs_CO,-3.4519724009364703,-0.47811331098984206,0.2964234555984763,-1.000607287475431,-0.7675828462942312,0.3696049330373266,0,3
Columbus_OH,-0.5897056602543493,-0.06286194608156566,-0.34815431922725926,0.35292555806374015,-1.4846555947560598,0.0785550947196856,3,4
Corpus_Christi_TX,1.9921736745566245,-0.22172408389887288,4.375453509710839,-2.8052292889856636,-0.9913625369637277,1.8192799596038673,2,1
Dallas_Plano_Irving_TX,-0.7746880307359231,-1.7824623272659021,-0.7746443155518068,-0.5695521609682049,0.7615408723923324,1.0471794166327968,0,3
Denver_Aurora_Lakewood_CO,-1.935213832312979,-2.092442896369768,-1.348078719323194,-0.5495885426251889,0.6216620791205735,1.2837701044977592,0,3
Des_Moines_IA,2.8046227759801132,-1.4034232138082776,-0.9006796631362621,0.6755249879116272,0.34369432737745387,1.1730007772704345,5,4
Dover_DE,2.7254291309883496,4.105363832962728,-2.5501088211073033,-3.411484947408612,0.3216086788925782,1.1978434585068565,4,2
Duluth_MN_WI,1.9447441124890754,2.1385784202457696,-1.0611083135954513,-0.3969339490318816,-0.01742034306475347,-0.12944736825431363,4,4
Grand_Rapids_Kentwood_MI,-1.7407223789508592,-0.7204562076156722,-0.623786535163494,-0.9325820423030994,-0.8790708648286805,-0.08971444894590902,0,3
Greensboro_NC,1.348189404494459,2.0937664839773107,-0.18008275373938404,0.0718558436619735,0.27218861634975416,0.3740703820441853,4,4
Honolulu_HI,4.5564459973061355,-3.333250399993077,-1.5823240708719126,0.333536377029,4.523109102558712,-0.6535580666667811,5,1
Indianapolis_IN,-0.48477794027749666,0.3479173280182694,-0.28848412402690493,0.23779010202314374,-0.9779915924571918,0.01581826823961899,3,4
Iowa_City_IA,3.8164204145924243,-0.7321819180803684,0.062415287255307726,2.220159393410947,1.1842050828461859,1.5300316057335963,5,4
Ithaca_NY,2.389026496995765,-1.661522711534728,8.719567227338842,-0.052603510535405545,1.158320248457213,-1.138723336432681,2,1
Kansas_City_MO_KS,-1.3134678734339351,0.6690104574394363,0.2628107032657636,-0.19724830203785476,-0.2030935981185726,1.6653482322838256,0,3
Knoxville_TN,-0.632468361651413,1.38841449017886,0.2593149943921202,0.7678047275441028,-0.1048081626013626,-1.0559319521150416,1,4
Las_Vegas_NV,-3.674924379476797,-2.1483162871485413,0.09653612099507491,0.7897192622070247,-0.5389021772299326,2.0502898932059512,0,3
Louisville_Jefferson_KY_IN,1.2127627317754206,0.11166649405970405,-0.27061283419540194,0.43028621177895493,-0.028952007869518962,-0.48191385296221156,3,4
Madison_WI,1.5627902050076135,-0.9797541766941642,-1.3329445685361272,-0.4538471250653135,-0.5347128513660322,0.6765377392258588,3,4
Memphis_TN,0.08065753182986528,0.863631897903806,0.7514156152370242,0.02697241955460574,-1.4007482453120383,-0.07811263210288932,3,4
Miami_Beach_FL,-0.9288231279518367,-0.550323766676087,0.37724703336881427,-0.07245747230742774,0.8141983994843361,-1.3111360416029594,0,3
Helena_MT,-2.286726113170074,4.090851515044217,-0.8442413975104999,4.893255576844957,1.2165135124028152,-0.3823066813255924,1,0
Mobile Alabama,0.35301910747172516,4.127588368006328,1.5693923462661201,2.3986497189473077,1.0623296951623116,4.767451622351303,4,5
Montgomery_AL,5.043606865148034,-0.3993236886977446,-1.4575266379182688,1.5724726861276002,-0.71644178529887,-2.039723215918542,5,4
Myrtle_Beach_SC,-0.035142691082024044,0.17588466260279798,-0.7506928579548604,3.977453317776809,-2.797637166165459,-1.3213604285885374,3,4
Nashville_TN,-1.9557439459242765,-0.6827435141386936,-0.06099030431339484,-0.34240623749871635,0.07416586860524127,-0.4547572053594647,0,3
New_Orleans_LA,2.786586130967839,-0.3877867838804721,0.5994178624203789,0.3178008414598941,0.5313275435809495,0.21322277057108485,5,4
