,1990-04-01,1990-07-01,1990-10-01,1991-01-01,1991-04-01,1991-07-01,1991-10-01,1992-01-01,1992-04-01,1992-07-01,1992-10-01,1993-01-01,1993-04-01,1993-07-01,1993-10-01,1994-01-01,1994-04-01,1994-07-01,1994-10-01,1995-01-01,1995-04-01,1995-07-01,1995-10-01,1996-01-01,1996-04-01,1996-07-01,1996-10-01,1997-01-01,1997-04-01,1997-07-01,1997-10-01,1998-01-01,1998-04-01,1998-07-01,1998-10-01,1999-01-01,1999-04-01,1999-07-01,1999-10-01,2000-01-01,2000-04-01,2000-07-01,2000-10-01,2001-01-01,2001-04-01,2001-07-01,2001-10-01,2002-01-01,2002-04-01,2002-07-01,2002-10-01,2003-01-01,2003-04-01,2003-07-01,2003-10-01,2004-01-01,2004-04-01,2004-07-01,2004-10-01,2005-01-01,2005-04-01,2005-07-01,2005-10-01,2006-01-01,2006-04-01,2006-07-01,2006-10-01,2007-01-01,2007-04-01,2007-07-01,2007-10-01,2008-01-01,2008-04-01,2008-07-01,2008-10-01,2009-01-01,2009-04-01,2009-07-01,2009-10-01,2010-01-01,2010-04-01,2010-07-01,2010-10-01,2011-01-01,2011-04-01,2011-07-01,2011-10-01,2012-01-01,2012-04-01,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-01,2017-04-01,2017-07-01,2017-10-01,2018-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2020-01-01,2020-04-01,2020-07-01,2020-10-01,2021-01-01,2021-04-01
Cedar_Rapids_IA,0.004886423666138562,0.018267840714942807,0.0002581311306142364,0.009290322580645105,0.029020710815648165,0.009690644800596449,0.009966777408637828,0.007919103313840159,0.019944397437446915,0.011021569092201977,0.003282147462196683,0.014137165556723952,0.023963133640553025,0.015189018901890394,0.016402526875761936,0.021044597099552975,0.031824006834686,0.011384806458290209,0.016066311911584252,0.007150770470339296,0.01639999999999997,0.014561196379378138,0.01095810705973621,-0.0012470023980815093,0.011140991164041436,0.00921352583586632,-0.0007529411764706229,-0.0016953941791467697,0.010850080196245004,0.01820048534627583,0.0011916765973050136,0.016755173045229776,0.001981089599279562,0.009077019861597924,0.011845386533665847,0.008802042073761118,0.00540965011779071,0.00911221036188481,-0.003095975232198178,0.013285024154589209,0.010386514558147653,0.012049207954162311,0.004995420864207789,0.01938530362024693,0.009427062169849565,0.010949198937283633,0.006052401051206635,0.010369666745824402,0.0009401441554373058,0.01573262366938022,0.004854743006858175,0.009509202453987564,0.005317532664843583,0.010729938038385844,0.008298444976076569,0.006598947134277333,0.008470830878020141,0.009933532977868698,0.00882331669921177,0.01842425980357021,0.002745318879346703,0.0016146016146016962,0.006027474067844096,-0.0004876689424549996,0.004809367812086185,0.005271920088790072,0.006348330113165934,0.003565551289083979,0.007652364033888803,0.0018985625169514186,0.0018949648077963843,0.0016211834639288103,-0.0029673590504450953,0.0011498917748917759,0.004121343152489798,0.004575427264163601,-0.008104487608841304,0.005132014315618827,-0.004433993953644633,-0.0033740468317700056,0.003385469564628707,0.00884000269923746,-0.007959866220735745,-0.009169981794889148,-0.003538618577747399,0.010790138632793767,-0.0007431930274980347,0.0013522650439485862,-0.0003376097231598818,0.00033772374197904576,0.003983794733288359,0.0031609388660971405,0.00033521051220164466,-0.0017425105555929354,-0.003625377643504457,0.004379758776362763,0.015497115255601823,0.0,0.002708594833850775,0.008169719330610059,0.006535093451836449,-0.0020127256200493937,0.0003903454557283581,0.008844377967093697,0.003480951460065773,0.008222522001670285,0.0023574386747371445,0.017162471395881118,0.0009373828271463935,0.013548105138290634,-0.004989528150794675,0.012814956973936642,0.005806845965770302,0.023275600121543505,0.0005345052856633448,0.002552383213628495,0.013025458851391392,0.0022209234365868635,0.006706321436902307,0.008573249145571449,0.0048819711676526545,0.007658893461362615,0.0188882586500283,0.01102265768524191,0.05087825560266501
Chattanooga_TN,0.002201877390195728,-0.0026595744680851796,0.0004637681159420648,0.016919689419399697,0.006495726495726384,0.0011322463768117519,0.005881022393123603,0.016415561052395056,0.004092920353982121,0.018398149168227462,-0.00108178277801807,0.005956248646307172,0.016794057487350633,0.012705134992059275,0.008468374281233482,0.01368442877876852,0.006136224176723104,0.01016466761536905,-0.0012074864157777254,0.007455168245013022,0.027800000000000047,0.006226892391515859,0.019338619222587505,0.015651678998292562,0.004202857943401472,0.013113839285714413,0.01872762324428523,0.002703433360367713,0.004313831221353537,0.013243847874720327,0.013159056787070522,0.02135634588563451,0.001792267645301715,0.016527517464644648,0.01106268856855519,0.014671750663129979,0.006290335756882648,0.007549926936190943,0.004995568447345056,0.0012827707848952485,0.015373528705260542,0.006624083274189729,0.016216216216216273,0.02420598211532532,0.010913743790456065,0.009976919067828272,0.012605971249539216,0.0058241118229469535,0.004559930515344535,0.02219180056200032,0.008035525481074224,0.009579749667855353,0.011705222329962517,0.011501334976381283,0.011438240270727595,0.013918629550321304,0.010427666314677841,0.01815806662312225,0.012124711316397363,0.0193953223046206,0.026611950506746362,0.010720125976621642,0.020074304889741157,0.010221465076660996,0.014886317380938596,0.003953475047269839,0.010215728798082413,0.01175074854527991,0.014629515885867361,-0.001265753123108393,-0.006612298875909084,0.008764144663856221,-0.005553722643792058,-0.016975393972905706,-0.005681178985262658,0.02460824800588335,-0.015514575971731448,-0.016992877572766574,-0.002567320858055666,-0.0008007778985300584,-0.012193027648978116,0.022716736207695876,-0.004363100634632744,-0.02424449376814075,-0.019714202391367674,0.01546974474921159,0.004570223237827298,-0.012190142898804157,0.010037789324515822,0.005144393779960232,0.0013958357566592472,0.00017423626437440554,0.012194413797108172,-0.010842751419884222,0.011599582415033005,0.003325306730879607,0.007714285714285785,0.0023816274454211417,0.011087854273915232,-0.0016785094835785053,0.015300117693213044,0.015179951424155513,0.00842803545212334,0.005230238326323633,0.011425199806897934,0.009758167161646236,0.003256302521008392,0.018322688723693803,0.028943039276166926,0.01708718461154124,0.011150955445301314,0.0037893509521957913,0.032184686864775935,0.006939560181928872,0.015133876600698537,0.008990825688073523,0.024186215675577438,0.01327237215909105,0.012266176019625874,0.009001601246375612,0.019172206733862218,0.025713323794293252,0.021991548024453245,0.02537235537355964,0.0597470733330725
Cleveland_OH,0.020398009950248763,0.016333495855680003,-0.002518589589829645,0.01551040038475393,0.018233483305706955,0.009534883720930143,0.011633264224833129,0.02083570533986112,0.0022306491188937017,0.02125528600044513,0.011005775307834753,0.002910109937486416,0.011176786673831263,0.01190349665214141,0.017750236319714396,0.005572755417956543,0.013136288998357948,0.002127228525121705,0.013848175477610303,-0.0029910269192422456,0.02299999999999991,0.019354838709677358,0.0125623321825854,0.019509423240837265,0.004366000928936353,0.004162042175360536,0.00506585612968613,0.01851173020527863,0.004678783516285812,0.010836467848826858,0.012846637724815979,0.013470958712386238,0.006559640945969392,0.010804321728691502,0.009840515778758219,0.012432795698924748,0.005476269498838393,0.0022280904439675453,0.0018114450391106818,0.013807840881071787,0.008917713822456541,0.010445962233828876,0.01320079522862816,0.02111294246919382,0.007225211375864626,0.011141636141636102,0.008452830188679261,0.006211644963328711,0.009520267757530787,0.007662270684447137,0.0088469693646267,0.007247427163356912,0.0062598935098576725,0.00986771540936715,0.012178715570346332,0.008394543546694777,0.006590357266736069,0.011440385940730602,0.010016353229762798,0.004857316332726125,0.008794897616649866,0.007986157327299459,-0.0019807209824377336,0.001521566551997866,-0.006869674351013932,-0.0073162620552045254,-0.0016080402010051342,0.007717602845446647,-0.012253596164091607,-0.020968176914778813,-0.004269678396804699,-0.00020748322843899825,-0.013004980630879848,-0.03714606111578367,-0.0007279079924297216,0.026660839160839167,-0.029019440896835502,-0.02499086591158195,-0.004196957206025642,-0.01302024535260038,-0.011895684001829943,0.01666923908010487,-0.008122058600273374,-0.03137675059309708,-0.01840878565220827,0.006600128783000647,0.007836238605469337,-0.021739130434782705,-0.0068126520681265346,0.012820512820512775,-0.002015641377086208,-0.006543868153174981,0.004635276896804097,0.009713453132588645,-0.0009620009620008307,-0.003530733429626065,0.020856820744081128,0.019720754121637762,0.001392434439545065,0.0038624951718810863,0.019853789919199727,0.008224552931411777,-0.008007783265978063,0.0057336854017351335,0.01822818993323838,0.017828200972447306,0.002605674580197004,0.006208489748772639,0.027478834840005906,0.01284826478597867,-0.0043433298862463054,0.01371001246364778,0.023428961748633848,0.016885803911099284,-0.004856917826201124,0.01358659807413276,0.020301926080166677,0.012563775510204156,0.008943755117465368,0.016105874274299437,0.009522639306997593,0.02622930866601747,0.022653145940817243,0.015540736445346592,0.04927767943813155
Colorado_Springs_CO,-0.0025920873124146704,0.0030091642730132317,-0.002181917359879937,-0.00560338936722693,0.018966465090709095,0.013353115727002818,0.016770930387328686,0.009818039010341728,0.018019185895773893,0.02228447726983318,0.014823119083208658,0.01804345157726761,0.03315649867374004,0.02474034309721085,0.025395740804008637,0.018214127054642315,0.04123036649214651,0.02796983029541167,0.002955263426067445,0.01605364763259498,0.019099999999999895,0.021882052791678985,0.01469176109083925,0.023185388473549784,0.010358860525342184,0.011900402782863528,0.009770218925275964,0.010661171833004746,0.008687173122950087,0.01344582124967042,0.012747138397502633,0.016268516140080402,0.007582778667116097,0.009114474454385846,0.009943652635067801,0.009517558254020342,0.00812743823146933,0.01241534988713311,0.012501990762860293,0.03020055053086912,0.00626001984884339,0.018132159927167768,0.01616989567809246,0.03270514042678019,0.01839096783355809,0.020708408869055894,0.010793086959491882,0.010069608704467159,0.008162719122173145,0.01765330501725515,0.008869179600886845,0.003813833225597918,0.002575825874171045,0.007643393923822961,0.01058133605303424,0.012678188469786855,0.006228589224540615,0.02271742494583706,0.01507081467134741,0.009301770914077911,0.025875819696343116,0.01975237546789521,0.01423085611023267,0.011971046770601346,0.0022008253094911723,0.009552566566016996,0.007830768394148757,0.008687206604435227,-0.0038515031560928392,-0.009343786918698416,-0.0016261925411967804,0.0029862091432293347,-0.016781248308341823,-0.02450035787039584,0.01157015464499378,0.008257546169726071,-0.018150628078136277,-0.01989516992616802,0.003162737205290256,-0.002350243622814552,-0.017007584463341607,0.014554594341828375,-0.008238750936221728,-0.022888346694550976,-0.022354340071343626,0.008696180977864287,0.010490142882980669,-0.003997374858302094,-0.013537798011261426,0.01651688122419226,0.011290322580645107,0.007797270955165914,0.008733368501260053,0.014700755374782215,-0.006069976521788978,0.002765454859710914,0.02413099683998854,0.017166900420757303,0.000661849870387865,0.01515736096566167,0.01797154957107172,0.027414795455757535,0.00415303950578827,0.004394354546864543,0.039787934939262914,0.02371169744072077,0.007930367504835445,0.023843791978507056,0.033456726488918065,0.024620267513035587,0.008009558367997105,0.037797971816146525,0.03164128595600668,0.018656716417910557,0.005434126313247134,0.02350068059892707,0.018893017797770417,0.016699938574938455,0.013404825737265424,0.01699083389224243,0.01853887301238366,0.01996402877697845,0.030929289366954604,0.030138204707170324,0.07744163650250724
Columbus_OH,0.006210423770092399,0.015127677598935074,0.0028612303290416197,0.008559201141226769,0.015676567656765616,0.0018567947081349345,0.017954361172245914,0.010013654984069253,0.006421811626858842,0.012873614687115342,0.007294429708222694,0.008997147245995096,0.007068290561113688,0.014145340675952855,0.008411413969335424,0.014676380530039168,0.0171696149843914,0.006445012787723803,0.014535474689977734,0.001903616872056979,0.01760000000000006,0.015133647798742045,0.013359148112294328,0.012227741688956684,0.010475651189127966,0.006164191650322337,0.010953309198923122,0.01386465889266364,0.005886614743705776,0.010173764292788379,0.0117647058823529,0.014534883720930258,0.006164799861074988,0.011045909561615552,0.01322977125298741,0.009182040266195068,0.009766277128547607,0.003554600314127576,0.009225700164744666,0.011753183153770719,0.012584704743465736,0.01003824091778216,0.013251301467108512,0.018916394208313703,0.00985560394224172,0.010667271901951825,0.008758140579384621,0.010092015434847168,0.008448427857772556,0.011728709841917206,0.005832373271889457,0.009091559882597355,0.007448921679909182,0.008238856418562257,0.017460539181449963,0.007207578253706659,0.006201867375451586,0.01347873205093486,0.012898482924547316,0.008775402480865502,0.01190398325593578,0.008273544050158455,0.002564266940188409,0.0011509687320161444,-0.0004470843712077732,-0.001022364217252325,0.0026224894460791237,0.00019138755980852018,-0.005038908023982547,-0.006346560676966484,0.0012258064516128542,0.0050260970423352536,-0.016605757517471287,-0.017733733211631186,0.005509093322713543,0.012608092943428684,-0.020404172099087292,-0.01523923604179156,-0.0011488038924177824,-0.010351126446113246,-0.006357670221493028,0.013759889920880619,-0.004004071937563691,-0.025960752248569086,-0.014760405736271354,0.013135472877023435,0.003994673768308976,-0.011866536367443725,-0.004521051144391164,0.015043996593812059,-0.0013982102908276506,0.002940352842341065,0.007608543906184595,0.012816072047107774,-0.00013679890560858166,0.01149268025721728,0.029419721358041384,0.00676696669075616,-0.0009788566953797817,0.012280357959370214,0.02181067303349038,0.018440164193243014,0.004960625038754829,0.010612698216819982,0.021307772147261872,0.025645624103299847,-0.0009325639680596298,0.012484685840966181,0.03520599250936329,0.019759545808749834,0.0026199443261829547,0.017366214818444137,0.02905607876712324,0.01143986272164721,0.004729833941699679,0.010796704702450866,0.027437481016503007,0.011283011430823775,0.009939098660170398,0.016691591490182844,0.010201660735468687,0.025129168623766907,0.02180985108820166,0.019057441370342154,0.05856727976766707
Corpus_Christi_TX,0.00046576618537508274,0.0005819366852886088,-0.02163545422821911,0.0059445963619069175,0.03994799669069837,0.0037504261847935982,-0.0020380434782607537,0.023825731790333426,-0.0035460992907800915,0.04570729537366547,-0.013825374880357288,0.028361910924188383,0.001992449664429463,0.011093668236525467,0.011178966980643912,0.014331047190091262,0.010495509133111147,0.005892339958054604,-0.00714853057982523,0.0,0.03269999999999995,0.00745618282172944,0.0034602076124568004,0.008524904214559426,-0.0010447335929337775,-0.00998288648031953,0.023144146739652482,-0.016331894124272606,0.009828244274809217,0.00992157233298685,-0.004210329341317265,0.017476275486234982,-0.0068335026318220304,0.006787540678754089,0.012190616919098618,-0.007755474452554645,0.025379310344827655,0.020715630885122405,-0.001581444385872377,-0.012319605772615372,0.012829650748396482,0.0029908515130188107,0.017979301876863696,-0.013784785043508219,0.042893334498121716,0.007622717373094501,0.005403607947460198,0.014221928228873804,0.008152616990053874,0.021914928028465175,0.011553375009891509,0.007197058593444439,-7.766990291258047e-05,0.026176790430324726,0.004390280826583881,0.014319089607355506,0.016791737870569756,0.022214103032517363,0.032954464221888635,-0.00034602076124579106,0.02692973347178973,0.021909127679654805,0.017085559733491573,0.012906991827733583,0.024908753281680296,-0.0020617268524304455,0.006010142114818873,0.02333685979214639,0.005594745803940704,0.005926463473633126,-0.0064927257424552964,-0.004840856831659135,-0.0019457618873891525,0.003228950895576954,0.002064735531669415,0.01902914974850023,-0.011121022896223631,0.01972576377195101,-0.022823779193205995,-0.02359828595570035,0.015205835084682873,-0.014795421334632297,-0.016130029046412586,-0.012939698492462348,0.00878197785414292,0.007822356800403663,0.010891337005508372,-0.030278637770897787,0.01915586488729959,0.023808032078190378,-0.008873385961691405,0.008767596937515387,0.024605214836577405,0.018996415770609287,0.005393363817563612,0.022040816326530654,0.04187585577361941,0.0010951702989814294,0.023356306749808597,0.002405259500774859,0.008371547403220658,0.014488921791549814,0.02319520458691704,-0.011716760061130982,0.030154639175257625,0.006504878658994295,0.006860551826994854,-0.03036587172270777,0.04420002036867299,0.020774407490490532,-0.029571947257787112,0.02141485748043115,0.007856178908810518,0.0021997991487732182,-0.0020041036407881796,0.013196270619172834,0.01486480109480448,0.020366409374128036,-0.0006835581480131303,0.015732591545442265,0.010146358983568193,0.019466666666666743,0.015738076554189684,0.040559680672990206,0.0288318759280648
Dallas_Plano_Irving_TX,0.0057197330791229906,0.002106371774618143,-0.007566999474513891,0.01281372445197504,0.0058552906733584376,-0.006548856548856619,0.017264832060269963,0.01254885825961738,-0.009244209670865478,0.01661027376191937,0.0010085728693898233,-0.0015113350125944836,0.008577194752775075,0.005502751375687787,0.007064676616915344,0.0019760893192373175,-0.005817966669953711,-0.003074786748660907,-0.004377673863297349,-0.0006995103427599458,0.015300000000000091,0.017039298729439656,0.007166376137904162,0.009519230769230669,-0.0010477188303648077,0.008009153318077944,0.0033106318577373894,0.00829640803243148,0.007573632538569353,0.009558277654045932,0.014523393694273246,0.016127570897888965,0.006954971020953993,0.02072080049588232,0.01275266764986549,0.008566044200787992,0.020978427042636305,0.013975542800099827,0.0129625071786037,0.019113954806835753,0.014463959310180519,0.013160987074030572,0.01322199025748061,0.02663308913308926,0.01501523823682449,0.008861222995239615,0.012703252032520318,0.00422908752060791,0.008493932905067725,0.015075376884422065,0.007181704085901464,0.00456905503634486,0.005237406105712772,0.004113251525330819,0.003959855260462941,0.0059163549812986105,0.006557598702001011,0.0040298206729803,0.009900327781122487,0.004504206133669086,0.010682492581602476,0.010961049128987987,0.005356566634398208,0.0071254333033765604,0.007011281789789159,0.006772580543072282,0.00729284546711928,0.008425914367744314,0.016958593798353627,-0.00803359503377754,0.0060126388121970464,0.00798926632920649,-0.0013310745401742263,-0.004725554343875005,0.0045045045045044585,0.014180099381893019,-0.01099426386233271,-0.017883035282745374,0.0017839566929134243,-0.003377341111452159,0.0001232285890324647,0.006653523903400682,-0.006670746634027003,-0.017928655042819264,-0.009535759096612306,0.014568026349125907,-0.0028717692595829902,-0.0014400200350612735,0.003887391059000489,0.009368559115608077,0.009900377451890208,0.007658844433551915,0.024626048887267382,0.021423060945938044,0.012491285149895504,0.021403569174269776,0.032415730337078674,0.0199706154432171,0.011416986769099413,0.024527903787319172,0.03434073006229732,0.02832254853160765,0.012972554334672592,0.021837817173985696,0.037411148522259685,0.020735665344392418,0.018415474297827306,0.021768353497246373,0.039383779654543094,0.01857825323588269,0.010262166279163099,0.015911435600349133,0.020232004062024078,0.011370161938670131,0.0014384132031191044,0.009374055034774731,0.017076093469143183,0.00994108983799702,0.006088224571636935,0.00706598543319914,0.004389752446747108,0.016443361753958774,0.02051245902794907,0.02123985494733205,0.06347649644910391
Denver_Aurora_Lakewood_CO,0.010955056179775324,0.007085301472631089,0.005380052421023684,0.005214050493962841,0.01583401583401578,0.006181134103735442,0.014690170940170999,0.017767833640431663,0.01849217638691325,0.02298120873539844,0.01514211244880248,0.017483799975547054,0.01934631098293682,0.02782034657550403,0.02167679779791265,0.027166591827570752,0.04393442622950805,0.021880234505862628,0.006146911177133507,0.0182262498727217,0.018799999999999928,0.018158617981939518,0.015713872553745345,0.008921791951404634,0.012323612417685759,0.011708948982436684,0.01533939560944253,0.013750678487425283,0.014010351597358417,0.016544926515885017,0.016362219721236304,0.013543441226575803,0.014875199596604771,0.022938058959920404,0.01295231927467011,0.022057060656916816,0.03925248260223624,0.04198329696787306,0.020723517943533887,0.04202037351443111,0.03224711473183972,0.0296612956264386,0.025932549821154893,0.02645996762545133,0.02274519318250734,0.01992646186691971,0.007093848121874524,0.011374133949191734,0.011702917166181548,0.011849678365872807,0.005074726745482927,0.002330355656660954,0.003542762247439768,0.0027028517844338573,0.013312795687094203,0.006514657980456029,0.003775620280474623,0.012305212251477737,0.008493019799352464,0.008842570661613758,0.00866071894401843,0.010551906067346017,0.008496698571940353,-0.004669339694462704,0.000713885064504538,-0.0012229299363057944,0.004591602469261824,-0.006094154689959774,-0.001583976291451683,-0.016171954964176005,0.0039013732833956816,0.001865381625990814,-0.008016550297388014,-0.02017726798748698,0.005108284999733925,0.022288104187622393,-0.012739513205592967,-0.021191775073436836,0.0018220793140406588,-0.0058842409329196155,-0.008770985794231523,0.016502904294012133,-0.002189586114819786,-0.023335474202526352,-0.01720736519070576,0.013661202185792254,0.008141261895593832,-0.003219293937905876,0.011221808627107421,0.017160179721756208,0.011708355508249113,0.016833245660178964,0.02933264355923426,0.034477559431070004,0.013409124034397202,0.016395800373939284,0.040469789160888725,0.02253048642277533,0.01888632736300755,0.019667565921155816,0.04839122642314586,0.03789482253337684,0.016628103062865218,0.02048374030783484,0.03696983442957569,0.027340332458442695,0.014512809594776854,0.022804379000384678,0.03823137161029999,0.015315701063864706,0.01557127100499578,0.026704146170063225,0.02772073921971252,0.013017285744558516,0.0009562800705256169,0.012598895357516238,0.014122711324704218,0.0063960925689035,0.007193205454125051,0.009923992542664628,0.010990883530714868,0.01691106241923701,0.018121546961326063,0.02683416540047756,0.07218919275994184
Des_Moines_IA,0.0219419924337958,0.008514313919052219,0.00795301602838605,0.004491381403253225,0.013293051359516639,0.007274895646988577,0.014918304522851145,-0.0024498366775547176,0.017074026429657385,0.006783948487984359,0.01005025125628145,0.007801899592944306,0.012117132278693932,0.02205963862099547,0.0077006507592189966,0.018512539016252383,0.03476698721335736,0.014603758169934533,-0.005938600905888158,0.012555690562980892,0.02939999999999987,0.008062949290849053,0.012238604606340964,0.01037699923838531,0.007914821445397235,0.008133121435916602,0.005656528189911025,0.00802213001383123,0.010793999268203569,0.014117647058823568,0.007763698018918408,0.014522270433011464,0.013266998341625369,0.0083555861831337,0.015974713821971687,0.0063903136298661956,0.01746177625532619,0.0013138446378715418,0.013531244874528614,0.008657658386600708,0.013396438312209158,0.01337766167972787,0.007967505077331571,0.024411035337879694,0.009531734624404153,0.006744098913450847,0.013397841458876236,0.011531399192067582,0.005663665408074392,0.012418772563176805,0.008843246327200127,0.01032093878128082,0.00538762944304505,0.013570881759342956,0.02032408678934372,0.004441453566621734,0.013466434409754813,0.012494215640906914,0.01188299817184646,0.01387275777519692,0.012855597276140829,0.01910147659440775,0.0033910845304889747,-0.0038097578960305523,0.006600049346163317,0.005208652490961363,0.006583760058522348,0.00363372093023262,0.004887762490948688,-0.004563742268660298,0.010375821921940087,0.002985252850916442,-0.017977260551223395,-0.012547735951991212,0.007612031921424123,0.008894845863287593,-0.011050724637681086,-0.015265311107040325,-0.00496062503875494,-0.010095344924284988,-0.0015738117721120215,0.012547288776797005,-0.0028644373871350437,-0.01567476425404357,-0.008564902931100127,0.010942599347283366,0.002721863527028745,-0.00441891294741481,-0.005389639211210384,0.009243911768455959,0.0019581833112247704,0.0034674063800277377,0.006722372306339208,0.006053419870194698,0.003349668134731143,-0.0024111282843893855,0.022806147744174332,0.007513330101793558,0.008900649506855762,-0.001072961373390413,0.019214703425229684,0.015925058548009297,0.010373443983402453,0.0031371206935888463,0.01563654972422812,0.016795431642593117,0.0008259002312520636,0.014633877977664023,0.017784525294149534,0.012892227372010012,0.0024719928469993935,0.007555089192025077,0.021766298687773356,0.005504026093160697,0.0016218955904714338,0.008754174678676119,0.0102332580887885,0.006504791697701018,0.0055747409965467565,0.002649266545650786,0.0074864216861574295,0.009956289460903323,0.012983890358259309,0.009589366247329645,0.051300136361499105
Dover_DE,0.043595263724434785,-0.014440433212996484,0.010570381998953549,0.024544324772162396,0.00030324471848763856,-0.0149555375909457,0.037443578169880976,-0.0016810046474834417,-0.01961172741679862,0.02343907860173755,0.0077986179664364386,-0.004505828190812133,0.023221489717603072,0.0035580344263872465,-0.006132617861249523,9.641342074817594e-05,-0.004820206304829822,-0.018599244405696047,-0.01283190208271634,-9.999000099991662e-05,0.04370000000000007,-0.006898534061511863,-0.0008683068017366624,0.015449980687524123,-0.0175922403955876,0.007453295905527124,0.017870868562644082,0.011704738531244097,0.013248740436648587,-0.024125230202578174,0.03113795055670887,0.014275256222547661,-0.01696138578130646,0.013032305433186453,0.00706649755390476,0.014933429291111855,-0.018968268037581892,0.010480664980122789,0.014395565092989893,-0.017011899515204987,0.017126972740315827,0.001851362073525431,0.014959521295318634,0.022975550546211032,0.025256377659123697,0.003637265437711701,0.01787332180215806,0.010195824567082123,0.0204261454661967,0.009498390768506004,0.015241057542768388,0.012714460784313708,0.006579942520042348,0.01540311067698541,0.03914459079473165,0.02535070853806176,0.017709563164108433,0.06851371639142911,0.03455102822838163,0.032841533427989233,0.06837606837606836,0.03194405594405603,0.023744985362680326,0.01652192332133029,0.035215669931235594,0.0219404186795491,0.022404963561158064,0.013341039348841788,-0.007461977186311808,0.0017238902456542249,-0.009226062431282545,0.007816269420052091,-0.0212562236690923,-0.025044022696145585,-0.012291792093116594,0.00767003606440797,-0.031303558826494604,-0.03335588281209345,-0.0186800172265289,-0.01305611937023421,-0.0247345895169806,0.011455602416505117,-0.023891361920324594,-0.00675402643883849,-0.042194583284900555,-0.015412621359223388,0.020769135954640694,0.01159210287991308,-0.03360190987764855,0.0035820158102768396,0.001353846153846039,0.017268928220255608,-0.014498882377816713,-0.005884877091890006,0.012579391996053735,-0.0038974483892577627,0.0024454362046830713,0.026956150515338173,-0.00427578834847675,0.018130852269338638,-0.0069708862984008135,0.007904672015101477,0.007842678216083199,0.013588850174216072,0.03535006302280297,0.001106745614520399,-0.00707534132994303,0.0032288593219396144,-0.00871205815437559,0.007557098074339574,0.028946052558475266,0.002645788336933075,0.00554687920728103,0.009854327335047097,-0.0036593126856172553,-0.005376057912386156,0.037354168896500006,0.02089352042921999,0.0009095962403355973,0.008582824254051769,0.023527056114531764,0.02474690663667034,-0.0032453586598577555,0.045199904237491095,0.034128911081588775
