,1990-01-01,1990-04-01,1990-07-01,1990-10-01,1991-01-01,1991-04-01,1991-07-01,1991-10-01,1992-01-01,1992-04-01,1992-07-01,1992-10-01,1993-01-01,1993-04-01,1993-07-01,1993-10-01,1994-01-01,1994-04-01,1994-07-01,1994-10-01,1995-01-01,1995-04-01,1995-07-01,1995-10-01,1996-01-01,1996-04-01,1996-07-01,1996-10-01,1997-01-01,1997-04-01,1997-07-01,1997-10-01,1998-01-01,1998-04-01,1998-07-01,1998-10-01,1999-01-01,1999-04-01,1999-07-01,1999-10-01,2000-01-01,2000-04-01,2000-07-01,2000-10-01,2001-01-01,2001-04-01,2001-07-01,2001-10-01,2002-01-01,2002-04-01,2002-07-01,2002-10-01,2003-01-01,2003-04-01,2003-07-01,2003-10-01,2004-01-01,2004-04-01,2004-07-01,2004-10-01,2005-01-01,2005-04-01,2005-07-01,2005-10-01,2006-01-01,2006-04-01,2006-07-01,2006-10-01,2007-01-01,2007-04-01,2007-07-01,2007-10-01,2008-01-01,2008-04-01,2008-07-01,2008-10-01,2009-01-01,2009-04-01,2009-07-01,2009-10-01,2010-01-01,2010-04-01,2010-07-01,2010-10-01,2011-01-01,2011-04-01,2011-07-01,2011-10-01,2012-01-01,2012-04-01,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-01,2017-04-01,2017-07-01,2017-10-01,2018-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2020-01-01,2020-04-01,2020-07-01,2020-10-01,2021-01-01,2021-04-01
Montgomery_AL,87.13,88.79,89.17,89.4,88.41,90.19,90.71,92.52,93.01,93.07,94.44,95.74,95.25,95.94,98.16,98.95,99.16,99.65,100.98,101.68,100.0,102.08,103.93,106.36,105.44,106.33,106.45,106.38,106.97,106.89,110.35,109.94,111.91,112.0,111.11,113.8,113.55,113.74,113.57,113.82,114.1,114.79,114.35,115.24,119.16,119.15,119.6,121.65,120.77,120.46,122.63,123.93,124.72,125.67,125.88,126.94,127.1,128.27,130.1,132.62,134.0,138.31,141.15,142.29,145.5,146.03,149.19,153.06,152.14,156.19,155.58,155.83,157.34,155.72,153.76,155.59,154.8,154.46,149.23,149.07,143.84,145.33,148.42,146.94,145.68,140.12,141.65,142.88,140.05,137.71,138.1,139.54,136.07,138.18,138.92,138.54,137.45,137.78,137.48,139.68,141.53,140.47,139.54,140.1,141.97,141.83,143.94,141.07,145.0,141.9,143.29,142.96,143.71,144.93,144.94,145.48,147.6,148.88,150.76,151.11,153.51,155.09,157.31,159.85,160.92,165.54
Myrtle_Beach_SC,86.68,88.74,86.69,85.53,89.25,88.39,90.43,90.27,91.01,91.36,92.27,93.78,92.27,93.2,94.56,95.32,95.04,95.56,96.9,99.56,100.0,101.83,104.12,105.28,105.95,109.4,109.2,112.49,113.44,114.48,118.13,118.75,120.37,122.35,122.95,125.79,126.62,128.57,132.21,130.48,133.66,134.29,134.82,136.98,140.4,141.31,142.67,145.15,146.34,146.37,149.01,149.38,151.33,153.45,155.46,158.96,162.24,166.69,173.99,180.84,183.25,193.86,205.63,214.62,224.61,232.48,238.87,243.57,247.22,248.27,245.08,244.95,246.78,238.8,228.52,227.3,227.73,220.8,210.58,206.48,199.69,192.65,195.08,195.42,184.57,179.21,177.92,181.61,178.11,174.3,172.62,171.78,175.15,173.55,174.86,172.51,176.19,179.72,177.25,182.47,183.07,188.11,185.96,189.09,191.29,192.07,196.52,196.74,199.91,201.98,204.58,207.96,211.06,214.82,217.9,220.26,221.47,230.04,230.59,234.37,240.53,239.21,244.38,251.01,257.47,270.59
Nashville_TN,83.76,83.28,82.88,83.25,83.43,83.53,83.82,84.38,85.28,85.24,86.78,86.74,86.9,88.39,89.68,91.03,92.5,95.33,97.25,98.14,100.0,102.1,103.68,105.55,107.64,108.93,110.07,111.4,113.38,114.77,116.11,117.65,119.48,120.65,122.38,123.9,124.6,125.26,125.79,126.46,127.56,128.14,129.98,131.09,133.94,134.53,135.27,136.71,137.61,137.87,139.66,140.72,141.25,142.44,143.47,145.02,146.18,147.84,150.53,152.7,154.46,158.19,161.42,164.85,167.95,172.54,175.43,178.95,180.81,183.0,183.97,184.89,185.59,185.51,182.45,183.77,183.86,181.45,176.28,175.22,173.89,173.29,175.03,174.27,169.71,168.98,169.99,170.54,169.47,169.2,171.6,172.07,173.16,176.04,178.18,180.94,183.6,188.42,191.3,194.27,197.71,202.49,207.86,210.16,215.06,221.65,226.3,231.05,236.11,242.4,248.2,252.02,257.41,263.79,268.03,271.05,274.07,278.31,282.35,284.99,290.2,292.39,299.0,304.63,312.08,330.87
New_Orleans_LA,80.54,80.06,80.7,81.34,79.69,82.46,83.04,84.7,86.24,86.82,88.24,89.01,89.77,91.6,93.24,94.82,96.66,98.46,98.94,98.63,100.0,102.36,103.86,105.43,107.49,108.54,109.32,111.23,112.09,112.87,114.75,116.8,118.22,119.01,121.42,122.67,123.99,125.25,125.78,125.9,128.47,129.09,130.72,131.93,135.93,137.86,138.82,140.62,141.37,142.98,145.63,147.93,149.78,151.78,153.64,157.23,159.2,162.83,166.65,169.86,171.52,175.69,179.91,188.02,194.76,200.31,204.19,207.73,209.07,208.34,207.67,205.95,206.16,203.63,199.32,199.7,201.61,199.16,194.74,192.92,191.47,188.22,191.28,190.48,188.35,186.24,187.3,189.14,188.88,189.36,192.1,191.3,192.09,194.31,195.77,194.49,194.8,197.25,201.35,201.89,206.66,208.14,211.32,212.25,215.89,219.66,222.84,222.91,221.41,225.57,228.99,229.33,230.19,230.95,234.2,233.57,237.83,240.58,242.76,245.97,248.34,251.02,253.93,259.02,262.09,270.73
Ogden_Clearfield_UT,68.43,68.25,68.6,68.42,69.93,70.51,70.33,72.57,72.95,73.23,74.8,76.11,77.35,80.24,82.24,84.64,88.16,92.84,96.16,97.08,100.0,102.51,106.16,108.44,111.29,112.64,114.93,117.16,119.58,120.36,123.49,125.15,126.77,127.84,129.64,130.31,131.34,130.57,128.25,128.86,128.95,129.09,130.38,132.25,135.07,135.26,135.48,136.77,136.38,135.52,137.25,138.17,138.3,138.59,139.0,138.51,139.22,139.88,140.05,142.2,144.18,146.91,150.59,153.53,157.04,162.91,169.36,175.0,180.44,185.82,189.28,191.52,191.03,189.78,185.07,186.22,185.34,180.86,175.67,173.61,173.02,169.88,171.14,170.06,162.22,158.52,162.27,162.71,161.49,160.02,162.9,165.22,165.6,169.42,172.33,173.65,174.8,177.09,179.85,181.24,183.35,186.67,190.56,192.56,195.88,201.23,205.4,208.3,211.72,219.32,224.2,228.45,233.25,241.17,246.58,250.1,254.41,260.34,264.45,269.01,272.65,277.95,284.88,295.56,307.31,337.85
Oklahoma_City_OK,84.45,85.52,85.01,84.7,85.96,87.22,88.39,89.38,90.34,90.09,91.44,91.64,91.91,93.76,95.51,96.63,97.21,99.77,100.34,100.0,100.0,102.43,104.19,104.1,106.06,106.5,107.34,108.07,108.67,109.0,110.01,111.67,112.64,113.87,114.73,116.51,116.55,117.46,119.55,119.97,120.97,122.27,124.04,125.09,127.74,128.64,130.41,132.05,132.96,134.56,136.35,137.83,138.96,141.08,142.38,144.74,146.32,148.49,150.34,152.76,154.41,157.86,161.18,162.68,163.73,166.14,166.98,168.96,171.32,171.74,173.2,174.69,174.95,175.47,174.09,173.97,176.62,175.81,174.04,174.38,173.63,173.82,175.61,175.29,172.14,171.22,171.66,173.88,174.35,174.32,176.2,176.36,177.86,179.11,179.86,180.31,182.4,184.9,188.12,189.22,189.99,192.37,196.67,197.32,198.04,199.42,201.67,202.47,204.53,207.06,210.5,208.8,211.31,215.73,214.97,215.94,219.58,220.68,225.81,226.78,230.22,232.13,236.69,239.73,244.24,254.67
Omaha_NE-IA,80.83,81.97,82.58,82.54,83.26,84.17,84.8,85.2,86.57,87.69,88.98,89.32,90.03,90.82,91.94,93.36,94.39,97.48,99.05,99.33,100.0,102.48,103.78,104.47,106.46,108.38,110.29,111.2,112.19,114.94,115.86,117.93,118.97,119.71,121.46,123.25,124.23,126.69,126.8,127.8,129.07,131.55,132.6,133.72,135.59,137.34,138.34,139.51,140.68,141.61,143.08,144.16,144.9,145.75,147.47,149.85,151.38,152.92,156.13,157.61,158.8,160.71,162.92,162.57,162.52,164.22,164.33,164.73,164.94,165.56,164.91,164.35,165.48,163.52,161.54,162.67,163.9,163.42,161.28,160.94,160.04,160.48,161.57,160.81,158.27,157.03,159.02,160.19,159.3,159.13,159.42,159.93,160.26,161.66,161.69,162.78,162.81,165.47,167.51,167.46,169.78,172.0,174.56,174.72,175.97,178.91,182.73,182.91,185.71,190.51,192.93,193.83,196.66,202.17,204.31,205.38,207.7,214.06,215.28,217.2,220.22,222.0,225.67,229.88,233.7,248.3
Orlando_FL,95.32,95.95,96.54,96.15,97.29,97.88,96.75,99.1,99.79,98.9,100.26,100.65,100.71,101.28,102.02,102.62,102.13,100.66,100.49,100.18,100.0,101.47,102.58,103.15,104.86,104.15,104.02,104.56,106.15,105.94,106.97,109.11,110.85,110.65,112.54,114.11,114.95,116.37,117.95,118.53,121.4,123.86,125.69,127.64,131.63,133.83,136.7,138.89,140.77,144.15,147.0,149.54,151.78,154.67,157.01,162.23,166.03,172.66,182.39,189.57,199.48,217.04,235.97,251.31,263.86,272.91,275.56,278.56,280.48,277.48,270.03,263.63,253.34,238.38,219.27,208.65,208.19,196.38,183.77,174.53,169.66,162.97,163.56,160.99,155.75,146.88,145.75,149.15,145.07,144.49,147.41,149.13,152.95,159.24,163.94,168.71,174.24,176.17,179.78,183.1,186.66,191.95,195.9,200.87,202.79,207.17,214.7,218.08,223.06,229.02,234.04,239.14,244.23,250.01,254.27,256.46,261.44,264.22,269.74,272.2,276.36,278.56,284.19,289.62,296.8,312.68
Oxnard_CA,124.87,122.56,121.66,119.24,116.55,115.5,115.24,115.79,114.56,113.18,112.43,111.19,108.6,107.36,106.24,105.29,104.38,102.19,101.14,100.45,100.0,101.04,102.36,103.18,102.8,102.44,101.94,102.7,102.87,103.51,105.04,106.88,108.82,110.79,113.97,116.3,118.27,122.06,125.26,127.87,132.88,135.64,139.49,142.37,145.42,149.23,152.7,155.58,160.84,167.86,173.86,179.63,184.55,189.77,196.67,213.07,220.98,234.81,262.19,269.59,277.37,289.04,302.61,316.09,324.01,325.43,323.01,318.09,312.74,305.39,297.23,285.63,270.61,249.93,231.79,224.74,223.37,216.53,214.75,217.82,216.42,214.81,218.14,215.48,207.52,203.8,203.2,202.77,200.78,199.77,203.28,206.52,211.1,219.23,231.93,239.82,244.72,248.62,252.72,254.71,256.39,260.11,265.05,268.56,271.59,275.78,280.26,283.19,286.36,291.96,295.24,298.51,301.65,306.05,308.68,307.42,310.37,312.34,316.21,316.49,319.83,322.03,326.25,332.55,339.3,356.17
Phoenix_AZ,88.76,87.64,87.28,86.06,87.31,87.76,87.52,90.29,90.45,90.17,91.02,91.51,91.24,92.29,92.89,94.03,94.96,95.96,97.51,98.94,100.0,101.83,103.92,105.16,107.17,107.68,109.08,110.12,111.57,112.54,114.46,116.43,118.17,119.45,121.28,122.75,124.42,126.66,128.93,130.45,133.84,135.37,137.29,139.35,142.47,144.64,146.93,148.12,150.11,151.91,154.21,155.7,157.41,158.89,160.86,165.77,168.44,173.92,184.2,192.25,205.61,229.74,251.86,272.01,282.96,287.81,290.58,292.57,290.38,287.76,281.43,274.81,262.79,244.32,222.03,210.78,209.67,191.15,179.77,175.23,170.95,164.43,164.8,159.77,150.47,143.15,145.4,149.24,150.02,154.12,161.88,168.07,174.12,184.04,191.74,198.16,202.03,206.65,208.26,211.77,213.24,218.62,224.2,227.33,230.58,235.58,240.05,244.28,247.85,254.3,259.71,263.09,268.95,274.64,281.52,284.45,288.23,293.67,298.05,303.29,310.02,315.81,323.48,335.01,349.26,377.25
Porland_ME,112.21,107.89,106.52,107.78,103.71,104.66,103.26,104.18,104.78,102.65,102.54,103.9,102.11,103.71,102.78,103.5,104.09,101.01,100.81,99.1,100.0,101.75,103.42,104.06,105.91,105.35,105.1,106.9,106.12,107.76,109.46,110.83,112.62,113.95,115.28,116.97,118.26,121.96,125.49,126.26,130.11,133.65,137.15,140.12,144.12,147.21,152.23,154.51,158.24,164.15,168.36,172.0,175.26,177.81,183.28,190.97,194.8,200.52,210.68,214.36,220.81,225.59,231.95,234.17,236.29,234.49,234.79,236.88,239.32,236.57,235.65,238.07,238.39,233.02,228.35,227.71,229.21,223.59,218.5,216.33,215.18,212.32,214.95,214.98,211.65,208.14,210.08,211.39,209.56,208.22,208.42,209.03,210.39,211.56,211.52,210.37,211.73,214.58,218.31,216.95,220.53,222.71,224.53,227.66,228.22,231.23,236.18,237.76,240.56,244.98,250.64,252.08,256.04,260.48,264.59,266.31,269.17,274.41,277.5,280.62,284.61,288.44,294.11,305.74,314.29,332.55
Porland_Vancouver_Hillsboro_OR_WA,63.03,66.47,69.31,70.72,71.9,73.81,75.06,76.85,78.37,79.44,81.55,82.66,83.94,85.76,87.67,89.23,91.53,94.16,96.52,98.09,100.0,102.89,105.53,107.5,109.92,111.52,113.38,115.32,117.76,119.17,121.98,123.56,125.47,126.18,127.79,129.04,129.28,130.3,130.16,131.02,131.97,132.86,133.95,135.24,138.77,140.07,141.25,142.48,144.13,145.39,147.69,148.72,149.91,151.22,153.01,156.86,158.61,163.08,169.33,173.48,178.69,188.51,199.46,208.28,216.07,224.83,230.86,235.06,238.1,240.72,240.04,241.27,240.19,235.95,227.5,223.88,222.6,213.22,205.9,203.53,200.3,197.25,197.79,195.09,187.33,182.08,183.08,185.35,181.9,181.05,185.43,189.02,191.12,197.1,203.91,206.52,210.72,217.99,221.94,224.63,228.27,236.75,245.9,250.83,257.0,267.0,275.36,279.45,283.85,292.4,298.02,298.91,302.92,310.28,312.36,311.49,314.72,318.97,322.16,324.48,327.47,331.04,337.33,345.28,354.44,376.93
Prescott_AZ,74.59,75.31,76.91,77.27,79.6,78.76,79.86,81.8,84.01,83.33,84.39,85.29,86.61,87.22,89.38,91.5,93.4,94.72,96.47,97.84,100.0,102.15,104.19,105.46,106.88,106.0,105.68,106.43,107.3,107.25,108.52,110.26,112.54,113.55,113.9,114.32,115.52,115.19,116.45,117.91,120.07,120.47,122.71,124.39,127.2,129.63,131.23,131.74,134.26,136.25,139.08,140.55,142.78,144.4,146.7,151.12,155.27,160.52,169.56,176.2,188.56,205.97,219.8,232.42,242.63,248.87,250.24,254.53,254.59,251.04,241.49,241.1,237.33,227.24,211.35,203.84,204.21,190.57,179.01,174.79,167.53,161.46,160.41,155.45,152.05,143.08,144.81,148.23,145.95,147.44,151.09,152.73,157.11,161.82,165.67,170.54,174.35,177.71,182.33,184.45,189.07,190.96,195.05,199.84,201.25,205.85,207.55,212.48,217.05,223.98,228.89,232.76,236.42,244.89,249.55,252.35,254.32,259.56,263.41,266.48,271.61,274.45,281.28,287.14,299.54,323.15
Raleigh_NC,82.81,82.42,82.9,82.95,83.05,83.33,83.98,85.09,85.08,85.83,86.58,86.82,87.29,88.45,89.64,90.19,92.36,95.21,97.28,99.38,100.0,101.45,102.66,103.55,104.83,105.49,106.18,106.7,107.85,109.13,110.35,111.97,112.65,113.68,115.17,116.02,116.97,118.71,119.2,120.57,121.06,121.85,123.38,124.52,126.75,127.87,128.3,129.43,130.19,130.58,131.82,132.42,133.19,133.69,134.09,134.88,135.86,136.8,138.11,139.72,141.31,142.58,144.82,147.38,148.97,152.13,154.49,156.92,159.35,161.65,163.65,165.13,165.93,166.56,166.88,166.2,166.63,164.05,161.48,160.36,157.95,157.1,158.18,157.72,154.53,153.0,153.48,153.68,151.58,150.93,152.62,153.41,153.36,154.6,156.3,156.39,158.22,162.11,163.61,164.12,166.42,169.01,170.91,173.33,176.43,179.37,182.33,183.51,187.94,193.54,195.77,195.6,199.5,204.53,207.44,208.01,213.16,215.41,217.32,219.56,222.85,224.6,228.34,232.59,236.18,252.06
Reno_NV,81.49,81.59,83.82,84.3,85.71,86.42,87.67,88.94,89.85,90.39,91.54,92.67,92.83,93.56,94.7,95.58,96.31,97.62,99.01,99.27,100.0,102.45,104.15,104.38,105.99,105.76,106.2,106.86,107.81,107.62,109.65,110.12,111.02,111.17,112.07,112.74,112.25,112.57,113.48,113.49,115.0,116.2,117.18,118.54,120.73,122.02,124.8,126.35,128.75,131.79,134.8,136.81,139.72,142.67,146.76,156.23,162.0,173.93,195.16,204.85,216.08,232.02,241.34,248.65,251.62,248.78,247.37,242.89,239.1,232.42,223.67,218.07,210.3,197.82,184.23,175.77,172.2,160.17,149.44,145.53,138.19,131.66,135.14,131.22,125.4,117.38,117.33,116.65,115.86,114.89,117.9,121.22,126.01,134.03,142.05,147.85,150.91,158.06,164.95,166.91,171.66,179.81,187.54,190.71,194.77,201.13,208.12,210.07,212.92,220.02,226.92,231.74,237.13,246.97,251.78,254.74,255.57,259.74,263.49,263.8,266.93,270.21,274.95,282.14,292.98,316.95
Richmond_VA,92.03,93.59,93.24,93.46,92.88,94.53,93.8,95.66,96.75,95.83,97.31,97.77,97.23,98.4,98.9,99.64,99.63,99.76,100.57,100.41,100.0,101.78,102.57,103.94,104.55,104.77,104.62,105.64,105.94,106.73,107.48,109.19,110.92,110.91,111.88,113.52,114.61,115.47,117.14,117.9,119.78,121.08,122.62,123.68,126.32,128.22,129.89,131.33,132.77,135.78,138.05,139.58,141.37,143.07,145.93,150.02,152.93,156.75,164.54,167.86,173.09,180.98,189.16,195.01,200.55,206.86,209.71,213.39,216.14,219.33,218.21,219.22,219.09,215.99,212.71,211.32,210.52,204.8,199.58,198.07,195.0,191.16,192.14,190.91,184.38,180.3,179.14,180.28,178.54,176.48,178.4,178.77,178.28,179.34,180.94,181.41,182.18,187.07,187.12,188.31,189.33,192.79,194.08,196.59,195.05,199.65,202.54,204.74,207.23,211.18,213.55,215.12,219.57,223.05,224.91,226.75,228.2,233.32,235.69,237.37,239.14,242.38,246.82,252.16,257.2,270.6
Rochester_MN,89.09,89.57,90.3,90.51,90.98,92.64,93.75,94.36,94.87,96.48,96.93,97.22,98.89,99.13,99.44,100.29,101.04,100.61,99.67,98.41,100.0,101.64,103.18,103.99,106.1,104.71,106.37,107.32,107.25,109.31,111.08,112.72,114.3,115.85,118.56,119.34,122.0,126.26,129.68,131.79,133.86,138.78,142.11,143.01,147.48,149.9,153.08,154.46,155.87,157.73,160.23,161.65,162.89,163.58,165.9,168.69,170.37,170.27,173.89,176.12,177.38,180.68,183.56,183.34,182.33,181.73,184.59,183.55,183.63,183.18,183.57,182.11,186.23,181.67,179.26,180.05,182.68,179.82,177.32,174.84,172.15,170.7,173.52,171.55,167.72,166.69,169.34,169.92,168.25,167.77,170.79,171.75,171.97,172.97,174.7,172.82,174.64,178.92,179.79,178.59,179.75,183.89,186.14,189.48,188.48,193.91,200.12,199.51,205.88,210.72,214.19,213.22,218.85,221.65,225.23,226.18,229.75,232.48,234.13,235.36,238.07,239.96,245.88,250.37,253.59,267.58
Rochester_NY,98.54,98.47,98.6,98.25,98.34,99.95,99.77,100.48,101.87,101.5,102.59,103.19,102.55,103.79,104.23,104.25,104.01,102.43,101.6,100.07,100.0,101.23,102.19,102.43,103.65,102.86,101.7,101.53,101.99,101.74,102.45,103.42,104.76,105.02,105.03,106.36,106.63,106.74,106.71,106.64,105.86,108.16,109.03,109.73,110.64,112.01,113.17,113.89,114.93,115.77,116.99,117.91,119.16,119.86,121.77,123.26,124.15,126.19,127.39,128.53,128.12,131.33,133.86,133.89,133.04,134.71,135.78,135.48,135.38,137.58,137.31,136.97,138.7,139.27,138.19,138.01,140.6,139.86,139.33,139.3,139.63,138.29,140.25,140.38,139.21,137.63,139.37,139.49,139.48,139.06,139.62,140.26,140.39,140.53,141.48,139.49,139.34,142.56,143.05,142.59,142.95,144.42,146.63,146.07,145.55,148.63,149.56,149.85,149.54,153.17,156.19,156.97,156.83,161.67,164.14,163.77,164.76,168.8,170.35,171.14,173.59,175.79,180.94,184.47,187.93,199.07
Sacramento_Roseville_Folsom_CA,101.79,108.12,113.38,114.2,115.52,115.61,114.78,115.18,114.4,113.03,112.64,111.47,109.88,109.13,108.55,107.87,106.79,104.0,101.93,100.84,100.0,100.87,102.12,101.73,101.86,100.11,99.34,99.52,99.82,100.12,101.79,103.6,105.0,105.54,107.41,109.03,110.26,111.62,113.56,115.46,120.96,123.44,128.28,132.25,138.3,144.21,149.31,152.09,155.52,161.55,168.6,173.48,177.72,181.49,187.67,199.18,204.96,218.06,239.37,248.85,260.55,275.75,287.25,293.81,291.78,288.57,284.77,280.77,273.81,265.82,252.41,242.14,230.19,211.17,196.43,190.53,192.26,183.67,176.74,174.45,171.63,168.12,168.88,166.06,157.27,153.49,153.62,154.36,152.97,152.55,156.64,161.36,166.79,177.69,190.2,196.47,199.58,204.68,208.67,210.49,212.37,217.6,222.97,225.36,228.98,234.58,239.73,243.56,248.81,255.74,261.44,265.29,269.59,274.69,278.38,277.93,280.03,283.71,288.01,289.38,292.74,296.35,301.27,310.12,319.85,340.68
Salt_Lake_City_UT,60.94,61.66,62.69,62.78,64.5,66.1,65.95,67.58,68.67,70.21,71.4,73.45,75.37,77.52,80.76,83.95,87.74,92.82,96.15,98.22,100.0,103.21,106.93,108.94,111.22,113.13,115.3,117.54,119.44,120.14,122.22,124.43,126.08,127.31,128.34,129.65,130.42,129.88,128.74,129.14,130.06,130.35,131.41,133.29,136.27,136.59,137.0,138.15,138.32,138.22,139.98,140.57,140.91,141.46,141.99,142.51,143.99,145.42,147.61,149.81,152.16,157.33,162.88,169.24,175.67,185.95,195.46,202.76,209.18,214.53,217.51,218.78,217.7,213.82,207.79,206.8,204.69,196.09,187.74,186.02,183.42,180.42,182.1,181.22,173.87,170.88,172.77,173.73,173.61,172.98,177.59,180.65,182.9,188.99,193.51,196.78,197.94,201.87,204.12,206.08,207.43,211.33,215.85,218.56,221.82,227.24,232.82,235.87,240.57,249.32,254.4,257.48,263.62,272.49,278.18,281.44,285.34,291.95,296.32,300.52,304.26,310.5,317.81,328.27,339.81,371.61
Santa_Fe_NM,65.29,67.31,69.71,72.66,71.2,73.23,74.39,75.92,77.94,78.99,79.98,82.07,84.68,85.82,88.02,89.79,93.85,95.0,95.2,98.0,100.0,102.16,102.68,104.89,104.55,103.49,102.11,102.94,103.66,103.6,104.52,104.76,107.07,106.23,107.7,108.8,110.46,109.09,109.88,110.55,110.74,115.04,114.67,117.57,120.78,121.21,122.9,124.53,125.98,128.51,131.13,132.42,136.04,138.29,141.56,146.77,149.37,151.67,157.38,159.74,165.57,168.57,175.72,180.57,182.34,188.53,193.04,195.41,196.95,198.14,199.16,202.02,198.88,197.32,191.97,188.78,190.44,186.23,181.3,177.55,174.55,170.83,172.24,170.39,165.23,162.1,163.87,163.77,161.65,157.19,158.68,159.43,158.99,160.62,159.59,162.72,160.26,160.21,162.92,161.82,163.69,165.68,170.95,170.24,169.59,174.25,176.89,179.74,175.68,180.62,183.31,186.15,188.76,191.9,197.12,200.54,201.13,206.03,213.13,215.74,217.57,220.42,225.5,228.16,235.39,247.76
San_Antonio_TX,83.14,82.59,85.18,83.93,84.17,85.33,85.79,86.82,89.06,89.74,90.9,92.22,93.78,95.12,96.79,98.28,99.39,99.88,99.72,98.52,100.0,102.01,103.66,104.24,105.43,103.75,102.19,102.86,103.59,103.03,104.34,105.36,107.26,107.3,108.31,108.7,109.4,110.14,111.4,111.8,113.05,114.13,114.25,116.85,119.16,120.06,120.93,122.66,123.76,124.66,126.4,127.58,128.82,131.29,131.23,133.57,133.83,135.75,139.26,139.43,141.78,146.04,148.46,152.2,154.55,157.75,161.24,164.03,168.53,170.75,172.12,173.84,173.54,174.28,172.13,170.69,175.27,174.72,172.13,170.9,169.8,168.07,170.22,171.85,169.74,169.65,170.45,169.64,169.78,172.72,171.7,175.35,174.16,175.58,176.68,179.5,182.27,184.72,189.48,190.05,194.08,199.72,203.14,202.36,207.88,210.0,215.62,217.29,220.06,225.97,228.56,231.66,232.35,238.37,241.53,244.95,247.21,252.16,256.59,257.61,261.22,262.36,266.63,273.08,278.38,290.55
San_Diego_Carlsbad_CA,110.94,111.15,112.36,111.27,111.29,110.57,110.51,111.09,110.77,109.83,109.59,108.62,107.29,106.37,105.51,105.25,104.31,102.28,101.29,100.35,100.0,100.68,101.72,101.68,101.74,100.13,100.12,101.04,101.2,102.14,104.26,105.8,108.41,111.57,115.28,117.74,119.93,122.39,126.49,129.97,136.62,140.74,145.54,150.05,154.93,159.26,163.84,167.62,173.46,181.61,190.07,196.52,202.43,207.07,214.55,229.67,238.88,254.32,283.13,292.05,301.11,309.47,316.71,323.69,324.8,323.3,322.19,318.73,313.41,307.14,297.02,287.72,274.17,254.42,237.79,231.53,231.4,223.15,219.23,222.67,222.01,221.61,223.74,222.69,216.06,211.15,213.26,213.09,211.61,211.46,215.86,220.26,224.8,235.76,248.02,255.01,258.78,263.93,266.88,269.66,272.0,276.56,282.91,286.62,290.4,295.0,300.87,305.14,309.42,316.79,323.01,327.09,332.32,337.91,340.27,341.28,341.87,345.43,349.25,351.9,355.64,360.7,366.11,373.7,385.04,407.88
Savannah_GA,85.06,82.29,84.19,82.43,83.71,84.77,86.86,86.37,86.66,88.14,90.96,90.65,90.03,92.52,94.23,95.65,96.92,98.18,96.32,99.45,100.0,99.73,102.9,104.49,104.47,105.0,106.88,108.52,109.84,110.25,112.07,113.4,115.95,116.89,118.13,121.65,122.15,123.43,125.65,128.1,130.1,132.33,132.65,135.32,139.27,140.17,142.3,144.42,147.82,147.71,151.11,154.31,156.43,158.22,160.62,164.68,167.79,172.53,180.45,183.97,188.44,193.77,201.35,205.01,211.94,215.2,218.36,225.07,229.04,230.42,230.08,227.39,229.6,228.41,220.47,220.94,225.5,218.9,210.66,211.22,202.14,201.43,202.26,193.05,193.37,183.9,183.44,184.7,177.88,176.84,176.83,182.52,181.89,182.84,187.1,189.64,188.9,190.0,197.63,195.65,194.96,205.14,205.93,200.22,206.28,213.82,212.86,215.15,218.65,222.55,224.21,227.06,225.87,233.79,239.73,239.14,241.42,247.44,253.59,255.39,256.22,259.31,265.62,267.67,274.72,289.35
Seattle_WA,84.06,90.75,92.42,91.51,91.86,92.25,92.39,93.54,93.56,94.04,94.87,95.22,95.32,95.81,96.51,97.21,98.16,99.2,99.23,98.87,100.0,100.97,101.98,102.77,103.65,104.39,105.05,105.77,107.43,110.03,112.48,114.57,117.24,120.43,123.58,125.08,127.16,130.98,134.29,135.64,139.73,141.9,143.93,145.94,149.29,151.83,153.83,154.6,156.54,159.15,160.91,161.9,163.37,164.75,166.6,170.9,173.1,178.16,185.4,189.21,195.32,205.27,213.5,222.14,230.78,240.36,248.04,252.89,258.44,262.83,263.75,264.01,262.24,256.39,248.11,243.32,240.41,228.61,220.68,217.51,213.9,211.59,211.05,207.06,199.87,195.15,195.97,195.89,193.18,192.49,196.75,200.1,202.32,208.78,216.03,219.43,222.57,229.9,235.43,237.21,240.5,249.9,258.05,262.22,269.41,280.48,289.03,293.54,301.64,316.55,326.08,331.44,340.5,352.84,353.89,351.2,353.7,358.65,361.44,363.45,368.91,373.8,380.89,388.99,397.43,427.2
