,1990-01-01,1990-04-01,1990-07-01,1990-10-01,1991-01-01,1991-04-01,1991-07-01,1991-10-01,1992-01-01,1992-04-01,1992-07-01,1992-10-01,1993-01-01,1993-04-01,1993-07-01,1993-10-01,1994-01-01,1994-04-01,1994-07-01,1994-10-01,1995-01-01,1995-04-01,1995-07-01,1995-10-01,1996-01-01,1996-04-01,1996-07-01,1996-10-01,1997-01-01,1997-04-01,1997-07-01,1997-10-01,1998-01-01,1998-04-01,1998-07-01,1998-10-01,1999-01-01,1999-04-01,1999-07-01,1999-10-01,2000-01-01,2000-04-01,2000-07-01,2000-10-01,2001-01-01,2001-04-01,2001-07-01,2001-10-01,2002-01-01,2002-04-01,2002-07-01,2002-10-01,2003-01-01,2003-04-01,2003-07-01,2003-10-01,2004-01-01,2004-04-01,2004-07-01,2004-10-01,2005-01-01,2005-04-01,2005-07-01,2005-10-01,2006-01-01,2006-04-01,2006-07-01,2006-10-01,2007-01-01,2007-04-01,2007-07-01,2007-10-01,2008-01-01,2008-04-01,2008-07-01,2008-10-01,2009-01-01,2009-04-01,2009-07-01,2009-10-01,2010-01-01,2010-04-01,2010-07-01,2010-10-01,2011-01-01,2011-04-01,2011-07-01,2011-10-01,2012-01-01,2012-04-01,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-01,2017-04-01,2017-07-01,2017-10-01,2018-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2020-01-01,2020-04-01,2020-07-01,2020-10-01,2021-01-01,2021-04-01
Ithaca_NY,108.41,104.09,106.0,108.11,103.74,107.4,106.19,107.81,108.71,106.45,107.7,108.01,108.22,109.94,107.76,109.37,108.95,104.97,104.98,101.77,100.0,102.4,103.83,101.2,104.26,101.19,103.21,105.65,107.79,103.29,105.64,107.47,108.03,107.23,107.38,108.91,110.23,108.83,109.29,109.76,110.92,111.97,111.76,113.43,116.22,118.57,121.03,121.39,121.95,124.56,126.45,127.98,128.35,131.66,135.46,143.78,140.83,150.48,151.14,152.52,152.33,168.01,169.7,175.1,175.0,180.22,184.64,180.29,175.2,184.23,184.46,185.25,188.33,191.9,187.87,191.4,188.62,190.19,191.96,191.63,188.86,190.59,188.27,187.46,194.16,192.76,188.8,190.56,192.77,192.84,191.5,194.2,191.24,197.01,196.84,196.01,194.66,212.27,206.17,209.48,204.26,208.93,208.92,210.23,207.38,212.88,217.89,222.92,217.15,223.73,233.7,226.1,222.79,219.08,224.52,228.27,228.82,225.72,229.15,229.63,235.13,237.11,237.99,245.97,247.9,258.69
Kansas_City_MO_KS,88.87,88.12,88.37,87.71,88.74,89.22,89.18,90.5,90.78,90.9,91.76,92.19,92.46,92.92,93.81,94.66,95.66,97.57,98.66,99.25,100.0,101.55,102.83,104.13,105.07,106.43,107.99,109.16,110.17,111.86,113.03,114.95,115.85,117.51,119.38,120.68,122.07,125.16,127.25,129.12,131.88,133.66,135.43,137.3,139.99,141.8,144.02,145.82,147.86,149.55,151.68,152.93,154.51,155.63,156.8,159.87,160.98,162.6,165.53,167.37,169.74,171.14,172.98,174.52,175.84,174.59,175.78,178.41,178.44,178.73,177.36,177.27,176.9,174.94,171.04,170.79,173.5,171.13,167.58,166.62,164.94,164.88,166.06,165.43,160.96,158.48,159.06,160.35,158.28,156.41,159.11,158.62,159.13,159.5,161.28,160.73,161.15,164.89,167.18,167.79,168.68,173.03,175.02,177.64,177.63,182.18,185.59,187.74,188.58,195.56,199.01,200.37,204.76,211.23,213.18,215.34,216.96,221.91,224.76,227.48,229.24,233.37,239.14,244.45,248.97,264.92
Knoxville_TN,84.96,85.67,86.47,85.01,86.58,87.32,87.22,89.08,89.87,90.33,91.96,92.51,92.86,94.26,94.83,96.33,97.27,97.67,99.84,99.19,100.0,101.77,103.84,103.76,105.56,106.21,107.5,107.88,108.25,108.99,110.01,112.29,113.89,114.21,115.66,116.43,117.57,117.2,117.48,117.65,119.89,120.63,121.2,123.19,126.16,126.98,128.33,129.79,130.83,130.85,132.59,134.18,135.85,137.31,138.65,140.72,142.53,144.61,146.89,149.32,152.27,155.47,160.04,162.23,165.37,169.24,171.36,174.78,176.72,179.65,179.87,181.75,182.88,181.07,179.45,180.23,182.2,180.95,177.19,175.55,174.39,173.03,175.36,174.56,171.6,168.43,170.35,171.95,170.48,168.93,170.86,170.93,171.11,172.09,172.2,172.49,172.2,176.73,175.51,178.18,178.95,178.43,181.67,182.26,183.3,185.2,188.43,190.27,191.81,195.85,198.21,199.2,202.87,208.58,210.68,212.76,214.55,219.27,223.13,226.06,229.66,233.29,238.02,245.39,251.36,268.46
Las_Vegas_NV,87.5,89.32,91.75,92.62,94.35,95.39,95.41,98.16,98.34,97.94,99.53,99.57,99.38,100.41,100.38,100.66,100.39,99.81,99.72,99.31,100.0,102.18,103.47,104.29,105.53,104.74,104.49,105.63,106.06,106.14,107.6,108.83,110.32,110.45,110.93,111.85,112.26,112.21,113.06,113.15,114.54,116.03,117.39,119.26,121.84,123.64,125.76,127.41,129.0,130.84,133.53,134.46,136.67,139.28,143.13,152.46,162.05,179.91,206.39,212.72,219.29,228.75,235.07,244.89,252.19,254.42,255.78,257.22,255.05,250.88,243.3,235.69,218.42,195.52,168.9,152.31,150.66,140.15,128.09,121.98,120.68,119.32,118.49,115.08,108.77,102.78,101.62,101.27,100.01,100.67,103.82,106.88,111.17,119.38,127.74,135.35,140.04,143.97,149.49,151.12,154.28,157.5,160.88,165.07,166.12,170.36,173.63,176.51,179.33,186.12,192.56,198.99,206.47,215.78,223.34,226.76,229.57,232.26,232.1,234.83,237.61,240.11,243.26,247.93,254.58,269.13
Louisville_Jefferson_KY_IN,78.58,79.51,80.13,79.97,81.15,82.42,82.47,83.75,84.76,85.72,87.02,87.87,88.17,89.6,90.51,91.26,92.84,96.45,97.55,98.77,100.0,101.47,102.94,103.86,104.98,106.56,107.83,109.07,110.86,111.88,112.95,114.8,115.97,117.15,118.35,120.14,121.07,122.68,124.0,125.57,127.53,128.52,130.02,131.57,134.09,135.6,136.56,137.93,139.18,140.22,141.6,142.86,144.03,145.12,146.18,148.63,150.01,151.14,152.79,155.27,157.04,158.85,161.16,161.18,162.78,163.22,163.79,165.18,166.62,166.75,166.5,167.97,169.23,168.63,165.94,166.38,167.87,166.06,163.91,163.47,162.68,161.6,164.26,163.3,161.01,158.98,160.28,161.06,160.13,159.94,161.0,161.95,161.77,162.94,163.0,162.72,163.24,166.1,166.7,167.87,170.46,173.3,173.97,175.39,177.05,180.12,182.96,184.1,186.66,190.68,192.25,193.85,196.13,198.69,201.26,202.94,204.0,207.81,210.55,211.6,214.26,216.69,220.37,225.78,228.67,240.18
Madison_WI,70.43,71.43,72.46,72.56,74.12,75.07,76.52,77.14,78.13,79.8,80.61,81.74,82.21,83.65,84.77,85.97,88.8,94.98,97.66,98.34,100.0,101.66,102.85,103.87,104.37,105.5,107.08,107.88,108.72,109.72,110.8,111.48,112.03,113.32,114.55,114.63,116.63,118.82,120.69,121.71,128.08,126.12,127.74,129.23,130.58,132.23,134.57,135.19,137.46,140.31,141.74,142.91,144.49,145.64,148.26,153.69,154.34,158.81,164.3,166.85,170.1,174.15,177.49,178.39,179.36,179.84,181.48,182.78,183.66,183.38,182.72,183.98,184.46,181.76,179.17,180.52,180.72,178.69,175.9,176.82,174.66,173.47,175.21,174.55,171.59,170.32,171.22,171.61,170.35,169.59,170.73,171.15,170.78,171.55,173.13,172.64,172.56,175.66,177.84,178.63,179.18,181.99,183.95,185.56,187.08,191.26,193.18,194.25,197.2,203.49,204.84,205.8,208.2,214.14,216.31,215.61,217.62,221.34,223.49,224.55,226.2,227.99,231.7,236.18,238.82,251.96
Memphis_TN,89.78,89.74,89.37,88.89,89.69,89.96,90.45,92.97,93.93,91.75,94.23,93.98,94.47,95.02,96.13,96.69,96.76,96.89,98.1,99.66,100.0,101.64,103.14,105.41,105.55,107.05,108.25,109.1,110.91,111.1,112.86,113.56,115.81,116.82,118.48,119.94,121.38,122.12,123.59,124.58,125.08,125.07,126.46,127.03,129.96,130.84,131.53,132.68,132.42,132.79,134.39,135.53,136.21,136.95,137.43,138.45,138.83,140.54,142.05,143.29,144.45,146.44,149.48,149.26,151.8,152.91,153.43,155.64,156.07,157.52,156.09,156.92,156.64,154.3,151.01,150.95,153.07,150.73,146.2,144.93,142.48,142.25,144.33,141.93,137.24,134.77,137.32,137.42,135.59,134.29,136.07,136.89,135.78,136.37,137.65,137.21,138.25,140.94,142.46,144.67,144.81,145.56,147.71,148.55,148.84,151.07,153.37,155.32,156.46,160.04,163.39,163.59,165.91,170.43,172.34,173.28,175.14,178.79,181.71,184.07,187.01,188.36,193.65,197.08,202.1,211.75
Miami_Beach_FL,83.34,82.86,83.69,83.34,84.62,84.7,85.37,86.98,87.92,87.74,89.07,89.11,90.38,92.72,95.48,96.87,97.6,98.49,98.73,98.89,100.0,101.51,103.58,105.21,106.49,105.91,105.6,107.02,108.05,107.7,107.98,110.06,113.32,113.15,113.58,115.73,116.15,115.39,116.71,118.43,121.08,122.88,124.97,127.96,132.0,136.34,140.1,144.77,148.85,154.53,160.84,165.75,170.57,176.03,180.63,190.64,197.32,206.84,220.71,229.82,242.09,258.4,275.93,294.43,308.85,322.0,330.32,336.51,342.26,342.33,337.8,330.84,315.25,291.92,256.2,235.41,226.29,212.9,199.58,200.42,195.82,194.06,197.13,194.14,184.87,180.56,182.08,184.84,180.83,182.22,186.49,193.52,196.4,205.72,210.85,217.89,221.98,228.94,236.68,242.22,244.88,252.24,260.25,264.94,271.15,275.59,282.99,287.97,292.72,299.24,303.18,307.92,316.08,317.86,324.42,328.42,331.13,335.81,342.61,344.44,350.58,353.98,360.13,367.04,377.99,396.49
Helena_MT,59.47,66.23,61.14,64.85,64.26,66.19,68.12,70.85,72.27,74.86,76.05,78.55,80.83,83.28,85.02,88.55,89.92,95.14,97.3,99.0,100.0,102.48,103.43,105.64,107.37,108.0,110.45,110.54,111.18,110.47,112.75,115.43,115.28,115.55,117.98,117.88,119.2,119.34,122.5,121.31,123.85,124.22,127.03,129.59,131.05,133.98,135.63,136.72,140.31,142.55,147.84,148.53,149.89,154.8,160.03,166.98,169.33,175.59,182.12,184.11,188.15,194.14,199.94,203.9,205.79,213.31,217.93,222.68,223.1,227.74,226.93,227.3,229.11,229.23,223.87,226.12,227.83,223.66,219.68,218.43,212.9,212.14,216.91,214.05,206.42,204.52,207.05,208.98,208.77,207.83,211.56,212.84,212.81,216.44,215.3,215.75,219.43,217.31,222.77,225.68,228.01,230.31,234.19,232.14,238.5,238.93,245.02,249.09,251.27,255.8,260.13,261.77,266.37,271.51,272.18,279.26,276.52,290.23,291.22,296.38,298.89,301.82,311.21,324.15,334.65,366.77
Mobile_AL,80.33,81.39,82.78,82.95,83.44,84.4,85.36,86.87,88.19,87.41,89.37,90.55,91.63,93.23,94.75,95.41,94.69,96.01,97.66,97.48,100.0,102.33,102.84,101.53,104.54,104.55,106.14,106.84,109.68,109.75,110.61,111.79,113.37,115.42,117.4,118.63,119.25,119.91,120.79,121.76,121.86,123.29,124.34,125.96,130.1,130.8,132.05,133.32,132.37,133.26,135.59,136.51,139.09,139.85,140.55,140.18,140.3,141.81,145.2,146.03,144.71,149.36,153.84,158.5,164.46,171.0,177.67,181.76,183.81,188.39,188.64,190.27,191.29,191.18,188.79,187.93,191.66,189.05,182.75,181.38,178.55,172.79,174.47,171.97,164.97,165.23,162.84,163.71,160.07,158.81,158.14,158.47,157.23,155.36,156.42,156.22,156.14,158.16,161.2,157.11,164.49,164.76,163.54,162.51,162.55,166.12,168.57,170.45,169.24,170.68,175.5,174.7,181.42,180.26,180.88,184.21,185.49,190.86,191.79,197.34,196.78,199.78,205.64,207.73,216.27,220.71
